title,,,,
text,align,,,
Covered Distance vs Time,center,,
xAxis,,,,
format,,,,
h,,,,
title,,,,
24-Hour Period,,,,
rangeDescription
0,23,,,
yAxis,,,,
format,,,,
m,,,,
title,,,,
Covered Distance,,,,
rangeDescription,,,,
0,15000,,,
annotations,,,,
labels,,,,
0,0,16,7500,Slow and steady wins the race!
series,,,,
Walking,,,,
elevation_data,,,,
0,0,,,
1,100,,,
2,200,,,
3,300,,,
4,400,,,
5,500,,,
6,600,,,
7,700,,,
8,800,,,
9,900,,,
10,1000,,,
11,1100,,,
12,1200,,,
13,1300,,,
14,1400,,,
15,1500,,,
16,1600,,,
17,1700,,,
18,1800,,,
19,1900,,,
20,2000,,,
21,2100,,,
22,2200,,,
23,2300,,,
series,,,,
Cycling,,,,
elevation_data,,,,
0,0,,,
1,200,,,
2,400,,,
3,600,,,
4,800,,,
5,1000,,,
6,1200,,,
7,1400,,,
8,1600,,,
9,1800,,,
10,2000,,,
11,2200,,,
12,2400,,,
13,2600,,,
14,2800,,,
15,3000,,,
16,3200,,,
17,3400,,,
18,3600,,,
19,3800,,,
20,4000,,,
21,4200,,,
22,4400,,,
23,4600,,,
series,,,,
Driving,,,,
elevation_data,,,,
0,0,,,
1,300,,,
2,600,,,
3,900,,,
4,1200,,,
5,1500,,,
6,1800,,,
7,2100,,,
8,2400,,,
9,2700,,,
10,3000,,,
11,3300,,,
12,3600,,,
13,3900,,,
14,4200,,,
15,4500,,,
16,4800,,,
17,5100,,,
18,5400,,,
19,5700,,,
20,6000,,,
21,6300,,,
22,6600,,,
23,6900,,,
